id;nom;departement;coordonnees;type_commerce;adresse;ville;adresse_mail;tel
1;RESTAURANT LE CALYDON;Ille et Vilaine;"{""coordinates"": [[-1.625370335086585, 48.131028495830535]], ""type"": ""MultiPoint""}";RESTAURANT;RUE DU CHENE GERMAIN;CESSON SEVIGNE;;
2;LA P'TITE FLAMBEE;Ille et Vilaine;"{""coordinates"": [[-1.628436022020354, 48.10535305884517]], ""type"": ""MultiPoint""}";RESTAURANT CREPERIE;1 RUE DE L ERBONIERE;CESSON SEVIGNE;;
3;L'EPI DE BLE;Ille et Vilaine;"{""coordinates"": [[-1.625370440547161, 48.135488893505816]], ""type"": ""MultiPoint""}";RESTAURANT;26 ROUTE DE FOUGERES;CESSON SEVIGNE;;
4;BOULANGERIE PATISSERIE SIMON & SIMON;Ille et Vilaine;"{""coordinates"": [[-1.620066497216882, 48.08752598347301]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE SALON DE THE;9 PLACE DES MARELLES;CHANTEPIE;;
5;CAMPANILE;Ille et Vilaine;"{""coordinates"": [[-1.622960017586448, 48.084909005641975]], ""type"": ""MultiPoint""}";HOTEL RESTAURANT;1 RUE DE LA CHALOTAIS;CHANTEPIE;;
6;LA PIE MUETTE;Ille et Vilaine;"{""coordinates"": [[-1.619635362366706, 48.08864129489613]], ""type"": ""MultiPoint""}";BAR + RESTAURATION RAPIDE;63 AVENUE ANDRE BONNIN;CHANTEPIE;;
7;BOULANGERIE PATISSERIE;Ille et Vilaine;"{""coordinates"": [[-1.616153097670192, 48.088161677823116]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;6 RUE DU PARC;CHANTEPIE;;
8;LE PIZZ'WICH;Ille et Vilaine;"{""coordinates"": [[-1.619381758436412, 48.08856970163454]], ""type"": ""MultiPoint""}";PIZZA KEBAB SP/AE;67 AV ANDRE BONNIN;CHANTEPIE;;
9;BOULANGERIE SANDRA ET NICOLAS SANTIER;Ille et Vilaine;"{""coordinates"": [[-1.734318387501218, 48.17793289039736]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;5 PL CENTRE;LA CHAPELLE DES FOUGERETZ;;
10;LA BOULANGE;Ille et Vilaine;"{""coordinates"": [[-1.720220422143568, 48.17163822152745]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;58 ROUTE DE SAINT MALO;LA CHAPELLE DES FOUGERETZ;;
11;BOUCHERIE CHARCUTERIE;Ille et Vilaine;"{""coordinates"": [[-1.706230479125724, 48.041562227023576]], ""type"": ""MultiPoint""}";BOUCHERIE CHARCUTERIE TRAITEUR;RUE DE LWOWEK;CHARTRES DE BRETAGNE;;
12;LA BRIQUE ROUGE;Ille et Vilaine;"{""coordinates"": [[-1.70784281775943, 48.04239073975587]], ""type"": ""MultiPoint""}";BAR RESTAURANT;25 RUE DE LA POTERIE;CHARTRES DE BRETAGNE;;
13;AUX FRUITS DU CASTEL;Ille et Vilaine;"{""coordinates"": [[-1.502792827062983, 48.048119364628384]], ""type"": ""MultiPoint""}";FRUITS LEGUMES + CADEAUX;36 RUE DE LA MADELEINE;CHATEAUGIRON;;
14;LE BELVEDERE;Ille et Vilaine;"{""coordinates"": [[-1.766487646730994, 48.0656471189616]], ""type"": ""MultiPoint""}";BAR RESTAURANT;BABELOUSE;CHAVAGNE;;
15;CREPES GALETTES;Ille et Vilaine;"{""coordinates"": [[-1.587589666410262, 47.978445515099615]], ""type"": ""MultiPoint""}";CREPES GALETTES AE;2 RUE RENNES;CORPS NUDS;;
16;LA PIA'ZA;Ille et Vilaine;"{""coordinates"": [[-1.586820858318419, 47.97829224612879]], ""type"": ""MultiPoint""}";PIZZERIA;1 RUE DU POINT DU JOUR;CORPS NUDS;;
17;LE BORDAGE;Ille et Vilaine;"{""coordinates"": [[-1.508878857972054, 48.2593560204012]], ""type"": ""MultiPoint""}";RESTAURANT A LA FERME AUBERGE;LE BORDAGE;ERCE PRES LIFFRE;;
18;AU P'TIT PAIN D'AMOUR;Ille et Vilaine;"{""coordinates"": [[-1.641541990021406, 48.328249105019545]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;2 PLACE DE L EGLISE;FEINS;;
19;PIZZA SPRINT;Ille et Vilaine;"{""coordinates"": [[-1.790499356397476, 48.22114844761913]], ""type"": ""MultiPoint""}";PIZZA SP/AE;3 RUE DE DINAN;GEVEZE;;
20;CARREFOUR MARKET;Ille et Vilaine;"{""coordinates"": [[-1.785223192324658, 48.220483283324015]], ""type"": ""MultiPoint""}";SUPERMARCHE;0 CC LA FLUME;GEVEZE;;
21;L'ATELIER;Ille et Vilaine;"{""coordinates"": [[-1.50086205485841, 48.22521691330434]], ""type"": ""MultiPoint""}";RESTAURANT CREPERIE;0 ZA BEAUGE;LIFFRE;;
22;MC DONALD'S;Ille et Vilaine;"{""coordinates"": [[-1.500188058077021, 48.22375490286108]], ""type"": ""MultiPoint""}";FAST FOOD SP/AE;LA BEAUGE;LIFFRE;;
23;L'AUBERGE DU CANAL;Ille et Vilaine;"{""coordinates"": [[-1.669224376638491, 48.24754427453036]], ""type"": ""MultiPoint""}";BAR RESTAURANT;0  LA VILLE EN BOIS;MELESSE;;
24;SNAC IN CREP;Ille et Vilaine;"{""coordinates"": [[-1.72477579961943, 48.198420018507655]], ""type"": ""MultiPoint""}";RESTAURATION RAPIDE;AV DU PHARE DU GRAND JARDIN;LA MEZIERE;;
25;LA ROBIQUETTE *;Ille et Vilaine;"{""coordinates"": [[-1.692731439603703, 48.13339148089484]], ""type"": ""MultiPoint""}";HOTEL RESTAURANT*;BOULEVARD DE LA ROBIQUETTE;SAINT GREGOIRE;;
26;LE FOURNIL DE LA FORGE;Ille et Vilaine;"{""coordinates"": [[-1.684909813467132, 48.15128382285069]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;CENTRE COMMERCIAL LA FORGE;SAINT GREGOIRE;;
27;LA RENCONTRE;Ille et Vilaine;"{""coordinates"": [[-1.656342186882878, 48.15002446344116]], ""type"": ""MultiPoint""}";BAR RESTAURANT;39  MAISON BLANCHE;SAINT GREGOIRE;;
28;LE RELAIS;Ille et Vilaine;"{""coordinates"": [[-1.656795941220996, 48.14831718569115]], ""type"": ""MultiPoint""}";BAR RESTAURANT;MAISON BLANCHE;SAINT GREGOIRE;;
29;BOUCHERIE (LA);Ille et Vilaine;"{""coordinates"": [[-1.698810151665296, 48.15141942716166]], ""type"": ""MultiPoint""}";RESTAURANT;PARC EDONIA;SAINT GREGOIRE;;
30;LE SAISON;Ille et Vilaine;"{""coordinates"": [[-1.680437449117295, 48.153465564326716]], ""type"": ""MultiPoint""}";RESTAURANT;IMPASSE DU VIEUX BOURG;SAINT GREGOIRE;;
31;ALIMENTATION;Ille et Vilaine;"{""coordinates"": [[-1.721398203097264, 48.06785061253998]], ""type"": ""MultiPoint""}";ALIMENTATION GENERALE;10 PLACE JULES VALLES;SAINT JACQUES DE LA LANDE;;
32;SPEED RABBIT PIZZA;Ille et Vilaine;"{""coordinates"": [[-1.691025794988706, 48.09370574847862]], ""type"": ""MultiPoint""}";PIZZA AE;248 B RUE DE NANTES;SAINT JACQUES DE LA LANDE;;
33;INSTANT THAI;Ille et Vilaine;"{""coordinates"": [[-1.713538233628407, 48.081400260693094]], ""type"": ""MultiPoint""}";TRAITEUR ASIATIQUE AE;21 COURS CAMILLE CLAUDEL;SAINT JACQUES DE LA LANDE;;
34;C&C DELGUEDRE;Ille et Vilaine;"{""coordinates"": [[-1.657956454711554, 48.27298761842459]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;19 RUE DES ECOLES;SAINT MEDARD SUR ILLE;;
35;VIVAL;Ille et Vilaine;"{""coordinates"": [[-1.658066157380863, 48.27281246184903]], ""type"": ""MultiPoint""}";ALIMENTATION GENERALE TABAC PRESSE PRESSING GAZ;16 RUE DES ECOLES;SAINT MEDARD SUR ILLE;;
36;"AUBERGE ""LA TOURELLE""";Ille et Vilaine;"{""coordinates"": [[-1.535407949368665, 48.33259696265907]], ""type"": ""MultiPoint""}";RESTAURANT;1 PLACE DE LA MAIRIE;SENS DE BRETAGNE;;
37;BOULANGERIE PATISSERIE L&C LUCAS;Ille et Vilaine;"{""coordinates"": [[-1.536393872323915, 48.33324107339072]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;4 AVENUE BERTRAND DU GUESCL;SENS DE BRETAGNE;;
38;PIZZA SPRINT;Ille et Vilaine;"{""coordinates"": [[-1.579962025255123, 48.15396580178012]], ""type"": ""MultiPoint""}";PIZZA SP/AE;2 RUE BEAUMANOIR;THORIGNE FOUILLARD;;
39;LE MARIE-THE;Ille et Vilaine;"{""coordinates"": [[-1.9318524473059, 48.07006970117736]], ""type"": ""MultiPoint""}";BAR + ALIMENTATION GENERALE;7  LE BOURG;LE VERGER;;
40;BOULANGERIE PATISSERIE;Ille et Vilaine;"{""coordinates"": [[-1.933662744821876, 48.06991833878121]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;6 RUE DE LA FORGE;LE VERGER;;
41;LE BISTROT VERNOIS;Ille et Vilaine;"{""coordinates"": [[-1.615182603329099, 48.04485179931555]], ""type"": ""MultiPoint""}";BAR RESTAURANT;LIEU DIT LES BOUILLANTS;VERN SUR SEICHE;;
42;PIZZA SPRINT;Ille et Vilaine;"{""coordinates"": [[-1.605637326781827, 48.04863118712207]], ""type"": ""MultiPoint""}";PIZZA AE;5 RUE DE LA LIBERATION;VERN SUR SEICHE;;
43;REGAL KEBAB;Ille et Vilaine;"{""coordinates"": [[-1.603783614357048, 48.044804319037006]], ""type"": ""MultiPoint""}";KEBAB SP/AE;1 CHEMIN DES MARAIS;VERN SUR SEICHE;;
44;SPAR;Ille et Vilaine;"{""coordinates"": [[-1.754087222571585, 48.11909561881463]], ""type"": ""MultiPoint""}";SUPERMARCHE;26 RUE DE RENNES;VEZIN LE COQUET;;
45;L'ANTRE COTE;Ille et Vilaine;"{""coordinates"": [[-1.74349159501157, 48.10565069268519]], ""type"": ""MultiPoint""}";RESTAURANT;MONTIGNE;VEZIN LE COQUET;;
46;LA DETENTE;Ille et Vilaine;"{""coordinates"": [[-1.737012869002804, 48.10417050690987]], ""type"": ""MultiPoint""}";RESTAURATION RAPIDE;69 RUE DU MANOIR DE SERVIGN;VEZIN LE COQUET;;
47;LE MOULIN DE GUEMAIN;Ille et Vilaine;"{""coordinates"": [[-1.486040093542879, 48.34908474077309]], ""type"": ""MultiPoint""}";HOTEL RESTAURANT;0  MOULIN DE GUEMAIN;VIEUX VY SUR COUESNON;;
48;BOULANGERIE PATISSERIE LECLANCHER;Ille et Vilaine;"{""coordinates"": [[-1.782804305129896, 48.247922426680404]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;10 PLACE DE L EGLISE;VIGNOC;;
49;LE PONT PEANNAIS;Ille et Vilaine;"{""coordinates"": [[-1.705338810280509, 48.017856368714234]], ""type"": ""MultiPoint""}";BAR TABAC PRESSE ALIMENTATION GEN SNACK CREPERIE;38 ROUTE DE NANTES;PONT PEAN;;
50;LES GENETS - ELAN;Ille et Vilaine;"{""coordinates"": [[-1.703125579346261, 48.013280802201145]], ""type"": ""MultiPoint""}";BAR RESTAURANT STATION SERVICE (2 POMPES);AVENUE DU CHEMIN VERT;PONT PEAN;;
51;LA FAVELA;Ille et Vilaine;"{""coordinates"": [[-1.656603595847029, 48.10970568251171]], ""type"": ""MultiPoint""}";RESTAURANT EN TRAVAUX;89 RUE ALPHONSE GUERIN;RENNES;;
52;MAISON DU BONBON (LA);Ille et Vilaine;"{""coordinates"": [[-1.67922577133495, 48.11259866165915]], ""type"": ""MultiPoint""}";CONFISERIE;2 RUE LE BASTARD;RENNES;;
53;CARREFOUR CITY;Ille et Vilaine;"{""coordinates"": [[-1.707731463533571, 48.11772587825576]], ""type"": ""MultiPoint""}";SUPERETTE;2 AVENUE SIR WINSTON CHURCHILL;RENNES;;
54;PIZZA DEL ARTE;Ille et Vilaine;"{""coordinates"": [[-1.675707447666501, 48.106426604136146]], ""type"": ""MultiPoint""}";RESTAURANT PIZZERIA;10 RUE YVONNE JEAN HAFFEN;RENNES;;
55;BOULANGERIE PATISSERIE;Ille et Vilaine;"{""coordinates"": [[-1.699239458347729, 48.12902092480109]], ""type"": ""MultiPoint""}";BOULANGERIE ET BOULANGERIE-PATISSERIE;6 PL EUGENE AULNETTE;RENNES;;
56;LE RELAIS FLEURI;Ille et Vilaine;"{""coordinates"": [[-1.769751857034224, 48.09469549307002]], ""type"": ""MultiPoint""}";HOTEL RESTAURANT**;LES LANDES D APIGNE;LE RHEU;;
57;RESTAURANT DU GOLF FRESLONNIERE;Ille et Vilaine;"{""coordinates"": [[-1.769170333369181, 48.10537557733187]], ""type"": ""MultiPoint""}";RESTAURANT;LIEU DIT LE BOIS BRIAND;LE RHEU;;
58;VIRGINIE ET PHILIPPE;Ille et Vilaine;"{""coordinates"": [[-1.796353187302016, 48.10055560398412]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;7 RUE GEORGES BRASSENS;LE RHEU;;
59;U EXPRESS;Ille et Vilaine;"{""coordinates"": [[-1.796431329810152, 48.100164826660205]], ""type"": ""MultiPoint""}";SUPERMARCHE;LE BOURG;LE RHEU;;
60;LE FOURNIL DE SOPHIE;Ille et Vilaine;"{""coordinates"": [[-1.764083021716209, 48.09649289451581]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;ROUTE NATIONALE;LE RHEU;;
61;LES HALLES DE ST ARMEL;Ille et Vilaine;"{""coordinates"": [[-1.593316468657863, 48.013720667941655]], ""type"": ""MultiPoint""}";SUPERETTE RELAIS POSTE GAZ;5 RUE DE LA MAIRIE;SAINT ARMEL;;
62;BOUCHERIE MR DAY JEAN-GILLES;Ille et Vilaine;"{""coordinates"": [[-1.606613848319082, 48.26259399907466]], ""type"": ""MultiPoint""}";BOUCHERIE CHARCUTERIE;9 RUE D ANTRAIN;SAINT AUBIN D'AUBIGNE;;
63;AU PETIT GODET;Ille et Vilaine;"{""coordinates"": [[-1.601984703781935, 48.26078844097224]], ""type"": ""MultiPoint""}";BAR RESTAURANT;19 RUE DE CHASNE;SAINT AUBIN D'AUBIGNE;;
64;BOUCHERIE CHARCUTERIE;Ille et Vilaine;"{""coordinates"": [[-1.606392178064888, 48.26217042887462]], ""type"": ""MultiPoint""}";BOUCHERIE CHARCUTERIE;2 RUE D ANTRAIN;SAINT AUBIN D'AUBIGNE;;
65;AUBERGE DU PAVAIL;Ille et Vilaine;"{""coordinates"": [[-1.46239270586224, 48.044432756638344]], ""type"": ""MultiPoint""}";BAR RESTAURANT PETITE EPICERIE;RUE DE LA MAIRIE;SAINT AUBIN DU PAVAIL;;
66;COCCIMARKET;Ille et Vilaine;"{""coordinates"": [[-1.651393383241698, 48.02064517066335]], ""type"": ""MultiPoint""}";SUPERETTE;12 AVENUE DE LA FONTAINE;SAINT ERBLON;;
67;HALLES DIS;Ille et Vilaine;"{""coordinates"": [[-1.660568803439963, 48.24918569421737]], ""type"": ""MultiPoint""}";ALIMENTATION GENERALE RELAIS POSTE;6 PL POULAIN;SAINT GERMAIN SUR ILLE;;
68;DELICES ET GOURMANDISES;Ille et Vilaine;"{""coordinates"": [[-1.829284264745345, 48.15590565638857]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;7 RUE DE RENNES;SAINT GILLES;;
69;LA FLORENTINE;Ille et Vilaine;"{""coordinates"": [[-1.830244055160265, 48.1560862292318]], ""type"": ""MultiPoint""}";RESTAURANT CREPERIE;4 RUE DE SAINT BRIEUC;SAINT GILLES;;
70;BOULANGERIE PATISSERIE;Ille et Vilaine;"{""coordinates"": [[-1.829788009084764, 48.15506857019645]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;25 RUE DU CENTRE;SAINT GILLES;;
71;LE RELAIS;Ille et Vilaine;"{""coordinates"": [[-1.828261135181071, 48.155766587596226]], ""type"": ""MultiPoint""}";BAR RESTAURANT;23 RUE DE RENNES;SAINT GILLES;;
72;L'ABRI DU MARCHE;Ille et Vilaine;"{""coordinates"": [[-1.682384420914725, 48.1134893855782]], ""type"": ""MultiPoint""}";RESTAURANT CREPERIE MOULERIE;12 PLACE DES LICES;RENNES;;
73;CARREFOUR MARKET;Ille et Vilaine;"{""coordinates"": [[-1.641340642982027, 48.091279599091564]], ""type"": ""MultiPoint""}";SUPERMARCHE;BOULEVARD PAUL HUTIN DESGREES;RENNES;;
74;LE LANDREL;Ille et Vilaine;"{""coordinates"": [[-1.65260996717309, 48.0905837233028]], ""type"": ""MultiPoint""}";BAR PETITE RESTAURATION PMU;16 PL DU LANDREL;RENNES;;
75;KIKA FAIM;Ille et Vilaine;"{""coordinates"": [[-1.678323162352793, 48.1139746951925]], ""type"": ""MultiPoint""}";CREPERIE;32 RUE DE LA VISITATION;RENNES;;
76;MIE CALINE (LA);Ille et Vilaine;"{""coordinates"": [[-1.680760188882284, 48.105872374458926]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE VIENNOISERIE SANDWICHERIE;2 RUE DE PLELO;RENNES;;
77;LE PAPAGAYO;Ille et Vilaine;"{""coordinates"": [[-1.677929481837292, 48.10865904539141]], ""type"": ""MultiPoint""}";BAR RESTAURANT TAPAS;10 RUE MARECHAL JOFFRE;RENNES;;
78;L'ASSIETTE CREOLE;Ille et Vilaine;"{""coordinates"": [[-1.680777175137682, 48.11569669476394]], ""type"": ""MultiPoint""}";RESTAURANT CREOLE REUNIONNAIS;8 B RUE DE SAINT MALO;RENNES;;
79;LE PARADIS DU PAIN;Ille et Vilaine;"{""coordinates"": [[-1.68368528317532, 48.10234668481947]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE RESTAURATION RAPIDE SP/AE;30 RUE DU DOCTEUR FRANCIS J;RENNES;;
80;LE MEZANNIE;Ille et Vilaine;"{""coordinates"": [[-1.679415971438278, 48.109092361988296]], ""type"": ""MultiPoint""}";BAR SNACK;2 RUE JULES SIMON;RENNES;;
81;SNACK IN CREP;Ille et Vilaine;"{""coordinates"": [[-1.679400847371826, 48.10887521173582]], ""type"": ""MultiPoint""}";CREPERIE;2 RUE JULES SIMON;RENNES;;
82;LA FRINGALE;Ille et Vilaine;"{""coordinates"": [[-1.68146122292742, 48.113376686839906]], ""type"": ""MultiPoint""}";RESTAURATION RAPIDE + SANDWICHERIE;2 PLACE SAINT MICHEL;RENNES;;
83;PIZZA SPRINT;Ille et Vilaine;"{""coordinates"": [[-1.683540079540765, 48.12216215279538]], ""type"": ""MultiPoint""}";PIZZA AE LIVREE;194 RUE DE SAINT MALO;RENNES;;
84;BOCAGE ET RIVAGE;Ille et Vilaine;"{""coordinates"": [[-1.68076968944773, 48.116993368173475]], ""type"": ""MultiPoint""}";SANDWICHERIE;58 RUE DE SAINT MALO;RENNES;;
85;MISS DOM;Ille et Vilaine;"{""coordinates"": [[-1.684479023591472, 48.11540486196361]], ""type"": ""MultiPoint""}";RESTAURATION RAPIDE;43 RUE DE DINAN;RENNES;;
86;BACK TO THE BO'S;Ille et Vilaine;"{""coordinates"": [[-1.68096862145703, 48.11607331422451]], ""type"": ""MultiPoint""}";RESTAURANT AFRICAIN;5 B RUE DE SAINT MALO;RENNES;;
87;DOMINO'S PIZZA;Ille et Vilaine;"{""coordinates"": [[-1.680971701316462, 48.11587178124998]], ""type"": ""MultiPoint""}";PIZZA AE;3 RUE DE SAINT MALO;RENNES;;
88;LE PUITS DES SAVEURS;Ille et Vilaine;"{""coordinates"": [[-1.633349380721825, 48.09322037842221]], ""type"": ""MultiPoint""}";RESTAURANT;262 RUE DE CHATEAUGIRON;RENNES;;
89;CASA MASSIMO;Ille et Vilaine;"{""coordinates"": [[-1.679326882651361, 48.10795910891858]], ""type"": ""MultiPoint""}";EPICERIE FINE PRDT ITALIEN;LIEU DIT LES HALLES CENTRAL;RENNES;;
90;PTI MARCHE;Ille et Vilaine;"{""coordinates"": [[-1.67273041362796, 48.107500484789]], ""type"": ""MultiPoint""}";ALIMENTATION GENERALE;12 RUE SAINT HELIER;RENNES;;
91;CHEZ NATH;Ille et Vilaine;"{""coordinates"": [[-1.67187375891283, 48.11071588116215]], ""type"": ""MultiPoint""}";BAR RESTAURANT;15 RUE KLEBER;RENNES;;
92;LE MARCHE DE L'ORIENT;Ille et Vilaine;"{""coordinates"": [[-1.659662600855096, 48.12308400453192]], ""type"": ""MultiPoint""}";EPICERIE EXOTIQUE + TAXIPHONE;156 RUE DE FOUGERES;RENNES;;
93;BOULANGERIE GESLIN;Ille et Vilaine;"{""coordinates"": [[-1.666629574775149, 48.12549032681727]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE RESTAURATION RAPIDE SP/AE;157 AVENUE GENERAL GEORGE P;RENNES;;
94;BOULANGERIE PATISSERIE;Ille et Vilaine;"{""coordinates"": [[-1.663825232709148, 48.12138071810329]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;151 RUE DE FOUGERES;RENNES;;
95;SUPER U;Ille et Vilaine;"{""coordinates"": [[-1.659544478032213, 48.12380443777175]], ""type"": ""MultiPoint""}";SUPERMARCHE;205 RUE DE FOUGERES;RENNES;;
96;LE SELECT;Ille et Vilaine;"{""coordinates"": [[-1.672512230454989, 48.10499125904132]], ""type"": ""MultiPoint""}";BAR SNACK;57 AVENUE JEAN JANVIER;RENNES;;
97;EL DOMINICANO;Ille et Vilaine;"{""coordinates"": [[-1.665611038821565, 48.105765329541036]], ""type"": ""MultiPoint""}";RESTAURANT DOMINICAIN + A EMPORTER;89 ALL ST HELIER;RENNES;;
98;LE MARRAKECH;Ille et Vilaine;"{""coordinates"": [[-1.684086585196885, 48.102362028185276]], ""type"": ""MultiPoint""}";RESTAURANT ARABE;75 BOULEVARD DE LA TOUR D AUVERGNE;RENNES;;
99;BOULANGERIE PATISSERIE DE LA ROTONDE;Ille et Vilaine;"{""coordinates"": [[-1.686249762673445, 48.10690115876841]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;21 RUE DE LA MOTTE PICQUET;RENNES;;
100;CROC PIZZA BURGER;Ille et Vilaine;"{""coordinates"": [[-1.658492728962142, 48.114395380297225]], ""type"": ""MultiPoint""}";RESTAURATION RAPIDE;127 RUE DE PARIS;RENNES;;
101;AU FIN PALAIS;Ille et Vilaine;"{""coordinates"": [[-1.67137060152211, 48.10728481434447]], ""type"": ""MultiPoint""}";CHARCUTERIE;15 RUE SAINT HELIER;RENNES;;
102;ENZO;Ille et Vilaine;"{""coordinates"": [[-1.673042258568726, 48.10683144972817]], ""type"": ""MultiPoint""}";RESTAURANT ITALIEN;25 AVENUE JEAN JANVIER;RENNES;;
103;RIVAGES EXOTIQUES;Ille et Vilaine;"{""coordinates"": [[-1.689558320491213, 48.10920770056629]], ""type"": ""MultiPoint""}";ALIMENTATION AFRICAINE + COSMETIQUE;47 MAIL FRANCOIS MITTERRAND;RENNES;;
104;LE SURCOUF;Ille et Vilaine;"{""coordinates"": [[-1.67211487431834, 48.10453098399089]], ""type"": ""MultiPoint""}";RESTAURANT;13 PLACE DE LA GARE;RENNES;;
105;LA GOURMANDINE;Ille et Vilaine;"{""coordinates"": [[-1.672989268994754, 48.11812360380322]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;51 RUE JEAN GUEHENNO;RENNES;;
106;SAINT-HELIER PRIMEURS;Ille et Vilaine;"{""coordinates"": [[-1.671453748536855, 48.10732642019638]], ""type"": ""MultiPoint""}";FRUITS ET LEGUMES;13 B RUE SAINT HELIER;RENNES;;
107;BOULANGERIE PATISSERIE;Ille et Vilaine;"{""coordinates"": [[-1.658571783706338, 48.114374797029384]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE;117 RUE DE PARIS;RENNES;;
108;CARREFOUR MARKET;Ille et Vilaine;"{""coordinates"": [[-1.658912958829613, 48.13072272281749]], ""type"": ""MultiPoint""}";SUPERMARCHE;RUE ALEXANDRE LEFAS;RENNES;;
109;AN ERMINIG;Ille et Vilaine;"{""coordinates"": [[-1.670054234630417, 48.11842174742294]], ""type"": ""MultiPoint""}";RESTAURANT CREPERIE;77 RUE JEAN GUEHENNO;RENNES;;
110;NINE ELEVEN;Ille et Vilaine;"{""coordinates"": [[-1.68408118376449, 48.102470620344675]], ""type"": ""MultiPoint""}";ALIMENTATION GENERALE;73 BD DE LA TOUR D AUVERGNE;RENNES;;
111;CARREFOUR CITY;Ille et Vilaine;"{""coordinates"": [[-1.666847181010833, 48.106200782064114]], ""type"": ""MultiPoint""}";SUPERETTE;75 RUE SAINT HELIER;RENNES;;
112;BROCELIANDE;Ille et Vilaine;"{""coordinates"": [[-1.673049262857842, 48.10529147770693]], ""type"": ""MultiPoint""}";PATISSERIE SALON DE THE CONFISERIE;24 AVENUE JEAN JANVIER;RENNES;;
113;DELICES DE VILLEJEAN;Ille et Vilaine;"{""coordinates"": [[-1.708801093320059, 48.12348621657858]], ""type"": ""MultiPoint""}";BOULANGERIE PATISSERIE + RR SP/AE;AVENUE SIR WINSTON CHURCHIL;RENNES;;
114;KEBAB CLEUNAY;Ille et Vilaine;"{""coordinates"": [[-1.707201386113204, 48.10086476081401]], ""type"": ""MultiPoint""}";KEBAB SP/AE;40 RUE FERDINAND DE LESSEPS;RENNES;;
115;BOUCHERIE G. BARBIER;Ille et Vilaine;"{""coordinates"": [[-1.689278252845261, 48.112540838279436]], ""type"": ""MultiPoint""}";BOUCHERIE CHARCUTERIE;14 C RUE DE BREST;RENNES;;
116;FISSA PIZZA;Ille et Vilaine;"{""coordinates"": [[-1.695627935844451, 48.11331431708248]], ""type"": ""MultiPoint""}";PIZZA SP/AE;160 RUE BREST;RENNES;;
117;PIZZA TEMPO;Ille et Vilaine;"{""coordinates"": [[-1.661990315582083, 48.122010254578946]], ""type"": ""MultiPoint""}";PIZZA AE / A LIVRER;130 RUE DE FOUGERES;RENNES;;
118;LA FORESTIERE;Ille et Vilaine;"{""coordinates"": [[-1.656809486222926, 48.124884400214526]], ""type"": ""MultiPoint""}";RESTAURANT SALADERIE;192 RUE DE FOUGERES;RENNES;;
119;AB IMMOBILIER;Ille et Vilaine;"{""coordinates"": [[-1.671794879568452, 48.10718271849345]], ""type"": ""MultiPoint""}";PIZZERIA SP ET AE + EPICERIE FINE;26 RUE SAINT HELIER;RENNES;;
120;BRIT HOTEL;Ille et Vilaine;"{""coordinates"": [[-1.685700892913781, 48.14356850429864]], ""type"": ""MultiPoint""}";HOTEL RESTAURANT**;6 AVENUE SAINT VINCENT;SAINT GREGOIRE;;
121;CREPERIE TANTE JEANNE;Ille et Vilaine;"{""coordinates"": [[-1.69489157763606, 48.13737138637412]], ""type"": ""MultiPoint""}";RESTAURANT CREPERIE;ROUTE DE SAINT MALO;SAINT GREGOIRE;;
122;CASINO CAFETERIA;Ille et Vilaine;"{""coordinates"": [[-1.696227843254287, 48.13783825815423]], ""type"": ""MultiPoint""}";CAFETERIA;ROUTE DE SAINT MALO;SAINT GREGOIRE;;
123;BRIOCHE D'ANTAN;Ille et Vilaine;"{""coordinates"": [[-1.683481705211382, 48.139421141403105]], ""type"": ""MultiPoint""}";BOULANGERIE VIENNOISERIE;25 RUE DE L ETANG AU DIABLE;SAINT GREGOIRE;;
124;CHOCOLATS ROLAND REAUTE;Ille et Vilaine;"{""coordinates"": [[-1.689812924450127, 48.13654900721931]], ""type"": ""MultiPoint""}";CHOCOLATERIE CONFISERIE;4 RUE DE LA LONGERAIE;SAINT GREGOIRE;;
125;CARREFOUR CONTACT;Ille et Vilaine;"{""coordinates"": [[-1.684473906603364, 48.15114412490169]], ""type"": ""MultiPoint""}";SUPERMARCHE;CENTRE COMMERCIAL LA FORGE;SAINT GREGOIRE;;
